Customer Id,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Cluster,Segment
1,792,1,499.9500122,6.675823221634848,0.6931471805599453,6.216506320059,3,At Risk / Churned
2,136,4,1819.73003386,4.919980925828125,1.6094379124341003,7.506992817150215,0,Loyal / High-Value
3,229,5,3537.68009381,5.438079308923196,1.791759469228055,8.171509081744233,0,Loyal / High-Value
4,380,4,1719.63002967,5.942799375126701,1.6094379124341003,7.450445799057147,3,At Risk / Churned
5,457,3,1274.75002288,6.126869184114185,1.3862943611198906,7.151289537878629,3,At Risk / Churned
6,646,4,3259.51002486,6.472346294500901,1.6094379124341003,8.08963891146739,3,At Risk / Churned
7,220,7,5569.48010644,5.3981627015177525,2.0794415416798357,8.625236524258815,0,Loyal / High-Value
8,126,8,3763.5000419,4.844187086458591,2.1972245773362196,8.233370340420473,0,Loyal / High-Value
9,140,5,3229.68005555,4.948759890378168,1.791759469228055,8.08044793756946,0,Loyal / High-Value
10,307,2,1264.79001226,5.730099782973574,1.0986122886681098,7.143451721853447,3,At Risk / Churned
11,371,4,2429.6500397600003,5.918893854273146,1.6094379124341003,7.795914006635298,3,At Risk / Churned
12,255,8,6009.3501015,5.545177444479562,2.1972245773362196,8.701238278994001,0,Loyal / High-Value
13,193,4,3185.62006955,5.267858159063328,1.6094379124341003,8.066716094744276,0,Loyal / High-Value
14,158,7,2414.72003184,5.0689042022202315,2.0794415416798357,7.789752671479072,0,Loyal / High-Value
15,420,1,239.98000718,6.042632833682381,0.6931471805599453,5.484713972290134,3,At Risk / Churned
16,123,6,2349.77002714,4.820281565605037,1.9459101490553132,7.762498224589151,0,Loyal / High-Value
17,284,5,4259.6601105,5.652489180268651,1.791759469228055,8.357179382775483,0,Loyal / High-Value
18,405,6,3519.6000672,6.0063531596017325,1.9459101490553132,8.166386727699527,0,Loyal / High-Value
19,464,8,4355.62007918,6.142037405587356,2.1972245773362196,8.379451824514254,0,Loyal / High-Value
20,291,4,1589.77005,5.676753802268282,1.6094379124341003,7.371973486151025,3,At Risk / Churned
21,295,4,2836.69007108,5.69035945432406,1.6094379124341003,7.95074564494888,0,Loyal / High-Value
22,387,5,2744.6800461,5.961005339623274,1.791759469228055,7.917784063188303,0,Loyal / High-Value
23,501,6,4141.38005816,6.218600119691729,1.9459101490553132,8.32902579490689,0,Loyal / High-Value
24,684,4,2769.47002792,6.529418838262226,1.6094379124341003,7.926772269956159,3,At Risk / Churned
25,641,2,929.8700104,6.464588303689961,1.0986122886681098,6.836119643898276,3,At Risk / Churned
26,190,5,3209.80008706,5.25227342804663,1.791759469228055,8.07427543337216,0,Loyal / High-Value
27,301,4,2065.66000368,5.71042701737487,1.6094379124341003,7.6336890583340695,0,Loyal / High-Value
28,296,4,2159.76002128,5.6937321388027,1.6094379124341003,7.678215300493102,0,Loyal / High-Value
29,354,2,1329.8700409,5.872117789475416,1.0986122886681098,7.193588173432656,3,At Risk / Churned
30,580,2,1105.89002425,6.364750756851911,1.0986122886681098,7.009309582019229,3,At Risk / Churned
31,527,6,3774.55005634,6.269096283706261,1.9459101490553132,8.236301361357153,0,Loyal / High-Value
32,326,5,3409.51004217,5.7899601708972535,1.791759469228055,8.134617131576585,0,Loyal / High-Value
33,779,2,1229.87003708,6.659293919683638,1.0986122886681098,7.11547654553384,3,At Risk / Churned
34,132,7,2989.68006526,4.890349128221754,2.0794415416798357,8.003256087097933,0,Loyal / High-Value
35,402,4,2313.82004548,5.998936561946683,1.6094379124341003,7.747087229364971,3,At Risk / Churned
36,167,2,1389.8800507,5.123963979403259,1.0986122886681098,7.237691955782497,3,At Risk / Churned
37,176,3,1329.76002124,5.176149732573829,1.3862943611198906,7.1935055025448955,3,At Risk / Churned
38,332,6,2649.74005516,5.808142489980444,1.9459101490553132,7.882594146090863,0,Loyal / High-Value
39,234,5,2934.70006185,5.459585514144159,1.791759469228055,7.9847012257454075,0,Loyal / High-Value
40,151,7,5253.62011732,5.0238805208462765,2.0794415416798357,8.566862990939695,0,Loyal / High-Value
41,136,4,2931.65006833,4.919980925828125,1.6094379124341003,7.983661753414355,0,Loyal / High-Value
42,247,7,3289.6600418,5.5134287461649825,2.0794415416798357,8.098843444245697,0,Loyal / High-Value
43,215,2,1159.8300247,5.375278407684165,1.0986122886681098,7.056890566759248,3,At Risk / Churned
44,322,6,2989.740078,5.777652323222656,1.9459101490553132,8.003276153483027,0,Loyal / High-Value
45,217,5,3329.7400742,5.384495062789089,1.791759469228055,8.110949802786342,0,Loyal / High-Value
46,352,5,3887.62009048,5.8664680569332965,1.791759469228055,8.265809641155606,0,Loyal / High-Value
47,621,1,679.9600067,6.432940092739179,0.6931471805599453,6.523503577112221,3,At Risk / Churned
48,171,4,3509.6200561,5.147494476813453,1.6094379124341003,8.163547955017947,0,Loyal / High-Value
49,628,3,1359.78001404,6.444131256700441,1.3862943611198906,7.2158133540543385,3,At Risk / Churned
50,250,4,2009.65002061,5.5254529391317835,1.6094379124341003,7.606213342111075,0,Loyal / High-Value
51,268,7,4513.43006532,5.594711379601839,2.0794415416798357,8.415034226503389,0,Loyal / High-Value
52,137,4,2119.77005,4.927253685157205,1.6094379124341003,7.659534532845676,0,Loyal / High-Value
53,476,6,4689.48011408,6.1675164908883415,1.9459101490553132,8.453290225940773,0,Loyal / High-Value
54,156,5,3109.68006908,5.056245805348308,1.791759469228055,8.042596652998006,0,Loyal / High-Value
55,129,6,4763.40007784,4.867534450455582,1.9459101490553132,8.468926906344585,0,Loyal / High-Value
